date,country,geopolitical_risk,conflicts,bilateral_tensions,trade_policy_uncertainty,economic_policy_uncertainty,is_geopolitical_core,is_active_conflict,is_energy_market,is_tech_supply_chain,is_strategic_minerals,is_financial_systemic,is_maritime_choke
2025-01-01,Afghanistan,0.3,0.1,,,,0,1,0,0,0,0,0
2025-01-01,Algeria,,-0.2,,,,0,0,0,0,0,0,0
2025-01-01,Algeria-Spain,,,1.4,,,0,0,0,0,0,0,0
2025-01-01,Argentina,1.8,0.4,,,,0,0,0,0,1,0,0
2025-01-01,Armenia,,-0.1,,,,0,0,0,0,0,0,0
2025-01-01,Australia,-0.4,,,,,0,0,0,0,1,0,0
2025-01-01,Austria,-0.2,1.4,,,,0,0,0,0,0,0,0
2025-01-01,Azerbaijan,,0.2,,,,0,0,0,0,0,0,0
2025-01-01,Bahrain,-0.8,-1.1,,,,0,0,0,0,0,0,0
2025-01-01,Belgium,0.1,0.2,,,,0,0,0,0,0,0,0
2025-01-01,Brazil,-0.3,-0.4,,,,0,0,0,0,0,1,0
2025-01-01,Bulgaria,,-0.3,,,,0,0,0,0,0,0,0
2025-01-01,Canada,-0.4,0.1,,,,0,0,0,0,0,0,0
2025-01-01,Chile,-1.7,-0.8,,,,0,0,0,0,1,0,0
2025-01-01,China,-1.0,-0.2,,,,1,0,0,1,1,0,0
2025-01-01,China-Iran,,,-0.2,,,0,0,0,0,0,0,0
2025-01-01,China-Russia,,,-0.5,,,0,0,0,0,0,0,0
2025-01-01,China-Taiwan,,,0.1,,,0,0,0,0,0,0,0
2025-01-01,China-United States,,,0.2,,,0,0,0,0,0,0,0
2025-01-01,Colombia,0.0,0.2,,,,0,0,0,0,0,0,0
2025-01-01,Croatia,,0.4,,,,0,0,0,0,0,0,0
2025-01-01,Czech Republic,-0.1,,,,,0,0,0,0,0,0,0
2025-01-01,Denmark,-0.6,1.0,,,,0,0,0,0,0,0,0
2025-01-01,EU-China,,,0.0,,,0,0,0,0,0,0,0
2025-01-01,EU-Israel,,,1.3,,,0,0,0,0,0,0,0
2025-01-01,EU-Russia,,,-0.3,,,0,0,0,0,0,0,0
2025-01-01,EU-Turkey,,,-0.5,,,0,0,0,0,0,0,0
2025-01-01,EU-United States,,,1.1,,,0,0,0,0,0,0,0
2025-01-01,Ecuador,0.4,0.1,,,,0,0,0,0,0,0,0
2025-01-01,Ecuador-Mexico,,,0.8,,,0,0,0,0,0,0,0
2025-01-01,Egypt,-0.8,-0.1,,,,0,0,0,0,0,0,0
2025-01-01,Finland,2.5,0.8,,,,0,0,0,0,0,0,0
2025-01-01,France,-0.5,0.3,,,,0,0,0,0,0,0,0
2025-01-01,Georgia,-0.7,0.9,,,,0,0,0,0,0,0,0
2025-01-01,Germany,1.1,0.7,,,,0,0,0,1,0,0,0
2025-01-01,Greece,,-0.3,,,,0,0,0,0,0,0,0
2025-01-01,Hong Kong,-1.0,-0.7,,,,0,0,0,0,0,0,0
2025-01-01,Hungary,0.4,1.1,,,,0,0,0,0,0,0,0
2025-01-01,India,-0.4,-0.7,,,,0,0,0,0,0,1,0
2025-01-01,Indonesia,0.8,0.1,,,,0,0,0,0,0,0,0
2025-01-01,Iran,0.5,1.1,,,,1,0,0,0,0,0,0
2025-01-01,Iran-Pakistan,,,1.8,,,0,0,0,0,0,0,0
2025-01-01,Iran-Saudi Arabia,,,0.4,,,0,0,0,0,0,0,0
2025-01-01,Iraq,-0.7,0.2,,,,0,0,0,0,0,0,0
